Sol,Index,Drive,Site X,Site Y,Site Z,Loc X,Loc Y,Loc Z,Shift X,Shift Y,Shift Z
565,29,0,0.0000,0.0000,0.0000,-2779.9530,361.5260,43.3850,-2779.9530,361.5260,43.3850
592,29,58,-5.7280,17.5000,0.3540,-2785.3070,378.4550,43.7430,-2779.5790,360.9550,43.3890
592,29,144,-6.4400,38.2460,1.1670,-2786.1170,399.1540,44.5290,-2779.6780,360.9080,43.3620
593,30,0,0.0000,0.0000,0.0000,-2790.2080,397.3070,44.6250,-2790.2080,397.3070,44.6250
606,30,1096,-121.3180,130.8140,8.4470,-2908.8880,527.8350,52.3660,-2787.5700,397.0210,43.9190
609,30,1172,-120.8350,137.6190,8.7380,-2908.5110,534.4710,52.6150,-2787.6760,396.8520,43.8770
629,30,1344,-118.9380,94.6280,7.5110,-2906.7020,491.9420,51.6080,-2787.7640,397.3140,44.0970
629,30,1524,-97.4850,72.1800,7.3650,-2885.6460,469.6030,51.6830,-2788.1610,397.4230,44.3180
629,30,1776,-52.9570,63.6100,4.4850,-2841.6310,461.0250,48.8450,-2788.6740,397.4150,44.3600
629,30,2188,10.1330,17.7350,1.7900,-2780.1420,414.8010,46.0770,-2790.2750,397.0660,44.2870
632,31,0,0.0000,0.0000,0.0000,-2790.2500,397.3820,44.6250,-2790.2500,397.3820,44.6250
641,31,500,33.6180,-78.2230,-1.1390,-2758.0120,320.6930,43.6610,-2791.6300,398.9160,44.8000
645,31,856,96.3700,-68.8110,-7.2430,-2695.9200,328.9120,37.8230,-2792.2900,397.7230,45.0660
648,32,0,0.0000,0.0000,0.0000,-2456.6360,467.8020,24.7480,-2456.6360,467.8020,24.7480
652,32,148,31.9710,6.7230,-0.2620,-2425.0250,474.3910,24.6470,-2456.9960,467.6680,24.9090
654,32,250,37.1350,0.5350,-0.4180,-2420.0580,468.4530,24.4310,-2457.1930,467.9180,24.8490
658,32,378,49.0930,9.3650,-0.3350,-2407.8620,476.8610,24.6010,-2456.9550,467.4960,24.9360
663,32,482,50.3350,15.0840,-0.2690,-2406.5800,482.2140,24.7190,-2456.9150,467.1300,24.9880
